Title,Stars,Reviewers,Cost,Page Count,Levels 1-4,Levels 5-10,Levels 11-16,Levels 17+
DDAL10-09 Recipe for Retribution,4.3,3,4.99,32,0,1,0,0
First Adventure - Prima Avventura - Primera Aventura,4.9,34,4.99,68,1,0,0,0
Eve of Fall,5.0,6,5.5,22,0,0,0,0
DDAL05-05 A Dish Best Served Cold (5e),4.5,119,3.99,33,0,1,0,0
DDAL10-02 Gnashing Teeth,3.8,12,4.99,23,1,0,0,0
A Guide to Out of the Abyss,4.7,117,0.0,38,0,0,0,0
DDAL05-08 Durlag's Tower (5e),4.2,96,3.99,38,0,0,1,0
Annalyse's Revenge - Adventure,-1.0,0,6.95,35,1,1,0,0
WBW-DC-FDC-08 The Great Toy Escape,4.3,3,7.95,25,1,0,0,0
RMH-04 The Amber Secret,4.0,2,9.99,24,1,0,0,0
DDAL10-03 Divining Evil,4.1,8,4.99,29,1,0,0,0
The Haunt 2,4.9,25,5.95,33,0,1,0,0
Beneath Old Bonegrinder - expanded maps and content for Curse of Strahd,5.0,1,3.95,13,0,1,0,0
A Tale of Two Dragons: Phandalin Adventures Tier 2 Conversions,4.8,9,4.95,33,0,1,0,0
DDAL09-01 Escape From Elturgard,4.6,18,4.99,35,1,0,0,0
"Sunblight & Light's Destruction – an Icewind Dale Rime of the Frostmaiden DM's Resource (maps, cheatsheets, advice)",4.3,8,3.95,33,0,1,0,0
DDAL00-05 Winter's Splendor (5e),4.6,41,4.99,26,1,0,0,0
Sharn: City of Blood,4.8,13,4.95,22,1,1,0,0
EB-05 A Century of Ashes,3.9,15,4.99,40,0,1,0,0
DDAL08-01 The Map with No Names,3.4,98,4.99,42,1,0,0,0
Hellturel,4.7,65,3.95,31,0,1,0,0
DDAL-DRW-14 The City That Should Not Be,-1.0,0,7.99,34,0,1,0,0
Murder on The Primewater Pleasure,4.8,22,0.0,28,0,0,0,0
The Lich-Queen's Begotten,4.7,98,5.95,19,0,0,1,0
N1 Against the Cult of the Reptile God (1e),4.7,90,4.99,-1,1,0,0,0
DDAL10-04 Cold Benevolence,4.1,9,4.99,26,1,0,0,0
The Second Black Dawn,4.7,20,7.95,55,0,0,0,0
Blinsky's Toyshop - Adventure,4.8,6,6.95,38,1,1,0,0
Lost Tales of Myth Drannor,4.4,34,14.99,76,0,1,1,1
DDAL-DRW-09 Vile Bounty,4.4,5,7.99,35,0,1,0,0
Classic Modules Today: N1 Against the Cult of the Reptile God (5e),4.5,21,1.95,15,1,0,0,0
DDAL09-02 Stopped at the Gate,3.8,21,4.99,29,1,0,0,0
Icewind Dale: Blood Runs Cold - A Starting Quest For Rime Of The Frostmaiden,4.7,9,2.95,7,1,0,0,0
DDAL05-04 In Dire Need (5e),4.5,114,3.99,33,1,0,0,0
Encounters on the Savage Seas,4.9,39,14.95,100,1,1,0,0
WBW-DC-AMQ-01 Feywild Name Giver,-1.0,0,3.95,33,0,0,0,0
DDAL05-12 Bad Business in Parnast (5e),4.2,95,3.99,32,1,0,0,0
DDAL07-03 A Day at the Races (5e),4.1,119,2.99,-1,1,0,0,0
The Tenacious Bard vs. Orcus,5.0,2,7.95,24,0,1,0,0
Barovia Gazetteer: The Land of Barovia,-1.0,0,2.0,14,0,0,0,0
Icewind Dale: Notice Board Seeds | A Rime of the Frostmaiden Supplement,4.6,5,4.95,28,1,0,0,0
DDAL-ELW00 What's Past is Prologue,3.6,46,4.99,19,0,0,0,0
Ruins of Mbala - maps and extra content for Tomb of Annihilation,4.9,17,3.95,14,1,0,0,0
The Carnival of Tears,4.7,10,5.95,20,0,0,0,0
Witchlight for the Combat-Starved (Thither),-1.0,0,8.0,29,0,0,0,0
The Landscape of Estorian LeFae WBW-DC-FDC-06,3.5,4,5.95,17,1,0,0,0
A Stitch in Time (WBW-DC-FDC-09),3.7,3,7.95,-1,1,0,0,0
The Eye of Klothys,4.9,18,3.95,20,1,0,0,0
EB-17 The Final Tribute,5.0,3,4.99,29,0,0,1,0
The Lonely Scroll Adventure Contest: Saltmarsh,4.8,21,2.95,52,0,0,0,0
Shrine to Talos - A Wild Beyond the Witchlight adventure,5.0,7,3.99,15,0,1,0,0
Ythryn Expanded Tower of Necromancy - maps and extra content for Rime of the Frostmaiden,5.0,5,1.99,8,0,1,1,0
Ythryn Expanded Tower of Abjuration - maps and extra content for Rime of the Frostmaiden,5.0,6,1.99,7,0,1,1,0
DDAL00-09 Minsc & Boo's Guide to Stuff and Things,4.4,34,5.99,35,0,1,0,0
Baldur's Gate: City Encounters,4.6,17,6.95,27,1,0,0,0
Ythryn Expanded Tower of Divination - maps and extra content for Rime of the Frostmaiden,5.0,5,1.99,10,0,0,1,1
Encounters in Castle Ravenloft,5.0,4,4.99,28,0,1,0,0
DDAL05-16 Parnast Under Siege (5e),4.5,115,3.99,46,1,0,0,0
Rats of Waterdeep,4.6,120,4.95,29,1,0,0,0
DDAL05-09 Durlag's Tomb (5e),4.4,87,3.99,41,0,0,1,0
Dropping Below Zero: A Chilling Adventure on the Road to Icewind Dale,4.9,15,3.99,21,1,1,0,0
Icewind Dale: Strange Encounters | A Rime of the Frostmaiden Supplement,5.0,8,4.95,28,1,0,0,0
Red Hand of Doom (3e),4.7,69,9.99,-1,1,1,0,0
DDAL-ELW02 Boromar Ball,4.6,29,4.99,22,1,0,0,0
Mary Cress's Mess,5.0,3,2.0,22,1,1,0,0
Queen's Hoard Expanded,5.0,3,4.99,30,1,1,0,0
Unseen Waterdeep,4.8,26,4.95,30,1,1,0,0
What Happens Under the Oak Tree: a Strixhaven Christmas Carol,-1.0,0,2.95,20,1,0,0,0
Dancing Hut of Baba Yaga,5.0,1,9.99,122,0,1,1,0
Ythryn Expanded Tower of Evocation - maps and extra content for Rime of the Frostmaiden,5.0,3,1.99,8,0,1,1,0
The Mage Tower,5.0,5,0.0,27,1,1,1,1
Ythryn Expanded Tower of Illusion - maps and extra content for Rime of the Frostmaiden,5.0,4,1.99,8,0,1,1,0
DDAL10-05 A Blight in the Darkness,4.3,3,4.99,23,0,1,0,0
Trust No One,5.0,20,4.95,22,1,0,0,0
Ythryn Expanded Tower of Conjuration - maps and extra content for Rime of the Frostmaiden,5.0,6,1.99,8,0,1,1,0
DDAL00-13 Knuckleheads & Other Such Curiosities: A Travelers’ Guide to Icewind Dale,4.9,8,14.99,96,0,0,0,0
An Ogre and His Cake - Digital,4.8,61,0.0,24,1,0,0,0
DDAL10-07 Into Darkness,3.4,7,4.99,18,0,1,0,0
Shield of the Hidden Lord,4.7,55,3.95,37,1,0,0,0
A Murder in Mossbank - A One Shot Whodunit Murder Mystery,4.8,9,1.99,7,1,0,0,0
DDAL10-08 Volatile Thoughts,4.3,3,4.99,25,0,1,0,0
DDAL05-10 Giant Diplomacy (5e),4.6,104,3.99,-1,1,0,0,0
DDEX2-10 Cloaks and Shadows (5e),4.7,58,3.99,47,1,0,0,0
EB-EP-01 The Iron Titan,4.9,15,5.99,39,1,0,0,0
Ythryn Expanded Tower of Enchantment - maps and extra content for Rime of the Frostmaiden,5.0,3,1.99,8,0,1,1,0
D&D Solo Adventure: Citadel of the Raven,4.6,37,9.99,166,0,0,0,0
EB-06 The Last Word,4.6,7,4.99,32,0,1,0,0
DDAL09-03 Hungry Shadows,4.1,18,4.99,26,1,0,0,0
DDAL08-02 Beneath the City of the Dead,3.1,71,4.99,29,1,0,0,0
Ythryn Expanded Tower of Transmutation - maps and extra content for Rime of the Frostmaiden,5.0,2,1.99,10,0,1,1,0
DDAL04-04 The Marionette (5e),4.1,39,3.99,42,1,0,0,0
The Forgotten Forge: An Expansion and 5e Conversion Guide,4.8,15,1.99,16,1,0,0,0
Old Olga and Young Yvonne,4.8,15,5.95,66,1,1,0,0
Baldur's Gate Notice Boards | A Descent Into Avernus Supplement,4.8,18,9.95,82,0,0,0,0
Encounters in the Savage Cities,4.8,46,14.95,84,1,1,0,0
DDAL07-06 Fester and Burn (5e),4.4,69,2.99,-1,1,0,0,0
DDAL00-11 Pipyap's Guide to All of the Nine Hells,4.8,32,22.99,167,1,1,1,1
Hunted!,4.8,32,3.95,26,0,1,0,0
DDAL-DRW-13 Night Thieves,1.7,3,7.99,39,0,1,0,0
DDAL04-10 The Artifact (5e),4.3,31,3.99,43,0,1,0,0
EB-16 The Dragon Below,5.0,2,4.99,31,0,0,1,0
The Dragon Games,5.0,4,4.95,40,1,1,1,0
DDAL07-02 Over the Edge (5e),3.7,57,3.99,42,1,0,0,0
Encounters in Ravenloft,5.0,4,9.99,53,1,1,0,0
Eat the Rich | Volume 1,4.9,41,19.95,213,0,0,0,0
The Palace of Pain's Pleasures,4.7,12,2.95,21,1,0,0,0
DDAL05-06 Beneath the Fetid Chelimber (5e),3.8,104,3.99,20,1,0,0,0
EB-07 Song of the Sky,5.0,8,4.99,38,0,1,0,0
DDAL-DRW-15 Frozen Whispers,2.0,1,7.99,40,0,1,0,0
DDAL-ELW03 The Cannith Code,4.3,22,4.99,25,1,0,0,0
The Fall of Cyrog,4.9,19,3.95,14,0,1,1,0
Nerzugal's Dungeon Master Toolkit 3,4.9,9,14.99,216,1,1,0,0
DDAL10-06 The Fallen Star,4.0,6,4.99,27,0,1,0,0
Waterdeep: Kitten Rescue,4.7,15,2.95,16,0,0,0,0
Frozen Castle - Expanding Tyranny of Dragons,4.4,71,2.99,14,0,0,1,0
Freak Show Collection,5.0,1,16.95,125,1,1,1,0
Quick Encounter #10 - Hunt,-1.0,0,0.0,1,1,1,0,0
"Sharn I, The Missing Schema",4.4,35,4.95,50,1,0,0,0
Totems of the Svalich Woods,4.7,7,2.95,16,0,1,0,0
Journey Through the Center of the Underdark 2 - The Darklake Strikes Back,4.8,26,2.95,27,1,1,0,0
The Carver's Cave - A Level 3-4 Adventure,4.8,20,2.0,14,1,0,0,0
DDAL-DRW-10 Unsafe Harborage,4.5,4,7.99,37,0,1,0,0
EB-15 Dream Eater,5.0,4,4.99,27,0,0,1,0
DDAL09-04 The Day of the Devil,4.3,14,4.99,23,1,0,0,0
Shadows of the Last War: An Expansion and 5e Conversion Guide,5.0,12,4.99,33,1,0,0,0
